datetime,hour,day_of_week,month,is_weekend,is_holiday_mlk,temperature_2m,relative_humidity_2m,weathercode,windspeed_10m,total_traffic,total_car,total_motorcycle,predicted_jam_label,predicted_peak_category,is_jam,peak_category_daily
2024-01-01 00:00:00,0,Monday,January,False,True,25.3,92,3,5.9,368,291,77,No Jam,Off-Peak,False,Off-Peak
2024-01-01 01:00:00,1,Monday,January,False,True,25.0,91,3,6.3,393,291,102,No Jam,Shoulder,False,Shoulder
2024-01-01 02:00:00,2,Monday,January,False,True,24.7,93,1,7.5,544,383,161,No Jam,Peak,False,Peak
2024-01-01 03:00:00,3,Monday,January,False,True,24.5,94,2,8.4,377,287,90,No Jam,Peak,False,Off-Peak
2024-01-01 04:00:00,4,Monday,January,False,True,24.3,94,2,9.7,415,301,113,No Jam,Shoulder,False,Shoulder
2024-01-01 05:00:00,5,Monday,January,False,True,24.1,95,3,9.3,556,378,176,No Jam,Peak,False,Peak
2024-01-01 06:00:00,6,Monday,January,False,True,23.9,96,3,9.7,547,380,165,No Jam,Peak,False,Peak
2024-01-01 07:00:00,7,Monday,January,False,True,23.6,97,3,8.2,398,297,99,No Jam,Shoulder,False,Shoulder
2024-01-01 08:00:00,8,Monday,January,False,True,24.1,95,3,8.4,373,285,86,No Jam,Off-Peak,False,Off-Peak
2024-01-01 09:00:00,9,Monday,January,False,True,26.4,89,3,8.9,525,360,163,No Jam,Shoulder,False,Shoulder
2024-01-01 10:00:00,10,Monday,January,False,True,28.1,79,3,11.3,514,365,147,No Jam,Shoulder,False,Shoulder
2024-01-01 11:00:00,11,Monday,January,False,True,29.4,72,3,12.4,445,319,124,No Jam,Shoulder,False,Shoulder
2024-01-01 12:00:00,12,Monday,January,False,True,30.3,68,3,14.0,433,306,124,No Jam,Shoulder,False,Shoulder
2024-01-01 13:00:00,13,Monday,January,False,True,30.8,66,51,12.4,533,370,160,No Jam,Peak,False,Peak
2024-01-01 14:00:00,14,Monday,January,False,True,31.1,66,3,14.1,505,352,150,No Jam,Shoulder,False,Shoulder
2024-01-01 15:00:00,15,Monday,January,False,True,31.0,64,51,13.3,326,253,70,No Jam,Off-Peak,False,Off-Peak
2024-01-01 16:00:00,16,Monday,January,False,True,30.4,68,51,8.7,363,273,87,No Jam,Shoulder,False,Off-Peak
2024-01-01 17:00:00,17,Monday,January,False,True,28.0,79,51,11.3,355,274,77,No Jam,Off-Peak,False,Off-Peak
2024-01-01 18:00:00,18,Monday,January,False,True,27.4,83,3,8.5,532,363,163,No Jam,Shoulder,False,Shoulder
2024-01-01 19:00:00,19,Monday,January,False,True,26.9,85,3,5.6,574,394,174,No Jam,Peak,False,Peak
2024-01-01 20:00:00,20,Monday,January,False,True,26.2,91,3,3.1,408,304,100,No Jam,Shoulder,False,Shoulder
2024-01-01 21:00:00,21,Monday,January,False,True,26.2,91,3,5.9,618,415,199,No Jam,Peak,False,Peak
2024-01-01 22:00:00,22,Monday,January,False,True,25.8,93,3,4.7,461,323,134,No Jam,Shoulder,False,Shoulder
2024-01-01 23:00:00,23,Monday,January,False,True,25.5,95,3,4.2,462,331,127,No Jam,Shoulder,False,Shoulder
2024-01-02 00:00:00,0,Tuesday,January,False,False,25.2,95,3,3.8,406,364,41,No Jam,Off-Peak,False,Shoulder
2024-01-02 01:00:00,1,Tuesday,January,False,False,24.8,96,3,4.2,163,139,23,No Jam,Off-Peak,False,Off-Peak
2024-01-02 02:00:00,2,Tuesday,January,False,False,24.6,95,3,4.6,375,339,35,No Jam,Shoulder,False,Shoulder
2024-01-02 03:00:00,3,Tuesday,January,False,False,24.7,95,3,8.2,549,493,55,No Jam,Peak,False,Peak
2024-01-02 04:00:00,4,Tuesday,January,False,False,24.5,96,3,9.2,528,465,62,No Jam,Peak,False,Peak
2024-01-02 05:00:00,5,Tuesday,January,False,False,24.4,96,3,8.7,232,199,32,No Jam,Off-Peak,False,Off-Peak
2024-01-02 06:00:00,6,Tuesday,January,False,False,24.2,96,3,9.3,578,519,57,No Jam,Peak,False,Peak
2024-01-02 07:00:00,7,Tuesday,January,False,False,24.2,95,3,8.9,290,258,31,No Jam,Shoulder,False,Shoulder
2024-01-02 08:00:00,8,Tuesday,January,False,False,24.6,93,3,10.7,282,244,37,No Jam,Shoulder,False,Shoulder
2024-01-02 09:00:00,9,Tuesday,January,False,False,25.4,94,53,9.2,180,159,20,No Jam,Peak,False,Off-Peak
2024-01-02 10:00:00,10,Tuesday,January,False,False,26.9,89,51,11.0,592,533,58,No Jam,Shoulder,False,Peak
2024-01-02 11:00:00,11,Tuesday,January,False,False,27.6,83,53,10.0,479,420,58,No Jam,Shoulder,False,Shoulder
2024-01-02 12:00:00,12,Tuesday,January,False,False,28.5,77,3,10.0,403,351,50,No Jam,Shoulder,False,Shoulder
